id;group_code;group_name;group_kpi_code;description;status;update_time;update_user
1;95994;Personal Loan Account;withdrawal Handcrafted Wooden Bacon niches;payment standardization;70547;2020-02-24T09:59:09;proactive incremental panel
2;26452;withdrawal withdrawal;leading-edge;New Hampshire Common;14933;2020-02-24T10:29:20;Cambridgeshire
3;60192;Incredible Wooden Towels yellow;Cheese;HTTP;49420;2020-02-24T07:11:49;olive
4;32165;hacking application;feed;Awesome;85693;2020-02-24T01:37:27;Moroccan Dirham Iowa grey
5;94025;HDD secured line infrastructures;e-commerce Tuna;Bulgaria transmit monitor;93046;2020-02-24T00:47:33;Plaza
6;18033;back up Operations;driver neural;Versatile Solutions Automotive;77618;2020-02-24T07:33:40;Configuration Checking Account
7;94776;orange Delaware;system Intelligent transmitting;primary moderator Investment Account;5399;2020-02-24T11:09:59;Soft
8;82586;Computers quantifying;parse Regional program;Cambridgeshire Louisiana Implementation;47607;2020-02-24T03:50:43;Avon
9;46189;regional;hard drive Station;Fantastic Via;43358;2020-02-23T19:59:26;Applications
10;59907;Infrastructure world-class Intelligent Wooden Table;programming;Shirt Corporate Chief;49736;2020-02-24T00:57:17;pink dynamic
