id;chart_id;menu_item_id;is_main;order_index;status;description;update_time;update_user
1;75292;91024;46513;1039;50105;Ridge Gourde US Dollar Buckinghamshire;2020-02-24T10:36:42;COM Polarised
2;46527;19875;24822;19149;1962;hub purple THX;2020-02-24T00:09:06;real-time Bacon
3;53283;18051;8651;39202;6831;bluetooth;2020-02-24T09:53:05;connect Nevada
4;43632;58237;22137;59291;50963;card Bike;2020-02-23T19:05:37;Extended Beauty
5;80512;12100;78392;57849;19333;COM;2020-02-23T13:29:03;Ridge JSON
6;15024;67635;40255;34709;5470;Executive;2020-02-24T05:28:02;USB
7;64849;20082;65321;86688;41851;Toys Singapore Dollar;2020-02-23T15:18:08;compressing generating Awesome
8;47148;93897;61838;13774;41095;success;2020-02-23T12:27:12;override Dynamic
9;87768;98463;30112;63202;58001;Awesome;2020-02-23T13:33:53;front-end
10;57376;44919;97096;54010;5494;hacking Computer Villages;2020-02-24T02:39:08;Jewelery
