id;name;url_link;update_time;update_user
1;withdrawal Dobra;Persevering Computers Awesome Wooden Chicken;2020-05-20T06:17:21;eyeballs withdrawal
2;Colorado Fantastic Frozen Pants attitude;gold function Planner;2020-05-19T17:36:48;high-level context-sensitive
3;Customer eyeballs web-enabled;Baby;2020-05-20T02:53:52;Crest bluetooth Licensed Soft Chips
4;dot-com recontextualize;mobile hacking;2020-05-19T22:40:05;back up e-tailers
5;zero tolerance Refined Plastic Ball;Mouse overriding;2020-05-19T12:58:24;Music cross-platform
6;core Dynamic Knolls;synthesizing Ergonomic Frozen Pants empowering;2020-05-20T06:28:39;cohesive Metrics generating
7;Bedfordshire Operative Cambridgeshire;Shores redundant;2020-05-19T15:57:58;logistical Antarctica (the territory South of 60 deg S) SDR
8;sensor ivory;Chair calculating Netherlands Antillian Guilder;2020-05-19T23:57:52;Kiribati
9;International Branding;withdrawal Chair;2020-05-20T03:22:49;Vietnam
10;fresh-thinking Wooden best-of-breed;USB;2020-05-19T22:39:59;intangible
