id;chart_id;type_chart;has_avg_line;list_color;order_index;query_id;condition_1;condition_2;condition_3;condition_4;condition_5;status;description;update_time;update_user
1;75256;virtual Avon Technician;664;capacitor leading-edge;56873;Ball Mall;Total engineer Program;index;Research;Vision-oriented;moderator;67062;Intelligent deposit;2020-02-23T16:55:47;redundant
2;19867;Strategist 4th generation Practical;41454;niches;81488;silver withdrawal;Credit Card Account;Shoes Chicken EXE;Mongolia grow Massachusetts;infomediaries turn-key;repurpose;80449;synergize dynamic withdrawal;2020-02-24T03:32:54;Unbranded compressing Reunion
3;18409;Intelligent Berkshire;56263;Crest Concrete;83311;Direct multi-byte;monitor Security synergy;Re-contextualized California;Buckinghamshire incubate;hard drive Delaware Associate;Baht;57076;Facilitator;2020-02-24T10:43:00;Borders
4;50529;Optimization fault-tolerant;61314;Rustic Concrete Computer;71486;California IB;markets;Buckinghamshire;brand Metical Bacon;copying;Belize Lead;18218;bypass Louisiana;2020-02-24T04:04:50;Gloves Technician
5;58243;Malagasy Ariary Total;76924;Refined transmitter;30041;blue;Movies enterprise;Specialist Reduced Kids;Integration Books;Associate deposit;Tasty Street optical;72536;Architect;2020-02-23T13:11:28;extranet Tasty Wooden Computer
6;58581;bricks-and-clicks JSON;26110;applications Intranet;37210;bypassing Keyboard Plastic;user-facing Producer;Consultant;bandwidth-monitored parsing;Direct optical;Licensed;61984;tan;2020-02-23T16:22:10;Riel black interface
7;3727;Fantastic Plastic Ball;45082;Texas Ergonomic application;8052;Car e-commerce invoice;Virginia Practical Wooden Pants bypass;Canyon Jordan quantifying;Down-sized Neck;Credit Card Account Shirt Usability;copying driver;67342;Chair;2020-02-23T17:33:41;Handmade Granite Fish
8;14360;programming;74997;Forest Internal;66663;Granite;Zimbabwe Dollar Ergonomic overriding;Handmade zero tolerance;recontextualize white bi-directional;Cheese Beauty cyan;withdrawal International;24418;Branch Moldova Secured;2020-02-23T13:51:16;Montana copy
9;56727;process improvement program override;2308;Customer generate impactful;73973;Fantastic transmitting;Belarussian Ruble Savings Account Avon;Health;Fantastic Cotton Pizza deposit;architectures leverage;Home Loan Account;95201;orchestration;2020-02-23T22:43:15;Cambridgeshire
10;36951;Kina azure Corner;21476;Keyboard paradigms cross-platform;67351;synthesize;Credit Card Account Savings Account;transmitting Trace;Investor Qatari Rial;solution artificial intelligence;initiative;26078;Research;2020-02-24T11:08:37;open-source Avon
