id;notify_id;user_id_recieved;is_new;is_read;is_deleted;update_time;update_user
1;58574;90029;57164;68009;35063;2020-04-02T05:57:25;strategize application compress
2;20072;94795;29831;93089;34145;2020-04-02T17:05:36;Generic Cotton Sausages
3;20377;90843;67285;14675;4194;2020-04-02T04:36:54;Liaison cross-platform
4;29741;77162;49883;47624;77652;2020-04-02T20:38:42;Keyboard Bedfordshire Checking Account
5;90247;60872;88961;4719;93525;2020-04-02T15:01:16;Zimbabwe Dollar
6;67171;38088;71667;33186;14792;2020-04-02T08:08:09;Officer
7;36185;36091;77535;93812;28415;2020-04-02T09:43:43;redundant Cambridgeshire
8;12737;40076;48625;59904;7367;2020-04-02T07:01:16;high-level Games mobile
9;67897;10940;17516;17604;18472;2020-04-02T17:03:57;Union
10;59043;26520;55874;91333;11707;2020-04-02T23:02:21;Chicken
