id;report_name;report_code;update_time;prd_id;time_type
1;functionalities;superstructure Streamlined;2021-04-01T15:06:53;87981;19159
2;Solutions XML;24/7;2021-04-01T10:39:36;75947;99587
3;artificial intelligence application;Home;2021-04-01T11:34:26;51174;47079
4;real-time transmitter;Borders;2021-04-01T19:13:11;39548;81408
5;multi-byte;Unbranded Soft Keyboard;2021-04-01T07:27:22;99465;25328
6;Buckinghamshire virtual;Ergonomic Fresh Soap Wooden cutting-edge;2021-04-01T19:30:37;18145;41050
7;Executive;Supervisor;2021-04-01T13:19:01;82475;19573
8;connecting Internal;Republic of Korea cross-platform;2021-04-01T12:56:55;52602;43750
9;Fully-configurable withdrawal;projection;2021-04-01T05:27:01;9270;34664
10;Investor;Frozen;2021-04-01T21:25:07;68505;77429
