id;screen_code;screen_name;is_default;order_index;profile_id;menu_item_id;status;description;update_time;update_user
1;front-end Avon Chief;Handcrafted Granite Mouse;46365;75811;63437;66510;93578;Integrated Outdoors Solutions;2020-02-23T23:24:14;Forward local area network quantify
2;Fantastic;Sleek Brunei Darussalam protocol;66328;85569;35496;40628;75587;Concrete connecting;2020-02-24T02:20:51;mission-critical transition
3;matrix Cambridgeshire;Auto Loan Account redundant transmit;75687;21461;21662;47516;26044;benchmark;2020-02-23T23:55:58;olive Club Auto Loan Account
4;Georgia CFA Franc BEAC Fall;orchestrate;81734;20802;64700;12322;24592;Kansas hierarchy multimedia;2020-02-24T10:10:42;Strategist Fundamental Chips
5;Knoll;budgetary management;54805;37994;75204;42147;62393;calculate turn-key;2020-02-23T19:35:29;e-services Monitored
6;Cambridgeshire platforms Personal Loan Account;attitude-oriented Gorgeous Rubber Salad;43825;25477;26908;388;94132;grow;2020-02-23T18:50:25;Cambridgeshire Palestinian Territory
7;Buckinghamshire;Plaza Kentucky neural;52399;47592;4541;29685;29807;Ball Ergonomic;2020-02-23T16:46:23;Intelligent override salmon
8;generating Regional;sensor SQL interface;19422;46335;6541;41225;1728;Crescent SMS;2020-02-23T13:19:29;plum Lead IB
9;Unbranded Graphic Interface Program;Mouse;5363;65444;5593;8561;65369;Pizza Cheese responsive;2020-02-23T15:23:40;Clothing Personal Loan Account
10;invoice;Metal;47822;77667;6245;36867;58869;Automotive Branding;2020-02-24T11:04:29;driver utilize
