id;user_id;token_device;device_name;status;update_time;update_user
1;Investment Account XML Principal;Moldova Knolls Response;solution-oriented;95179;2020-03-31T16:16:50;Tasty Lari
2;Practical;Credit Card Account COM;Cambodia Proactive Lane;66938;2020-04-01T07:15:30;Senior AI
3;synthesize;Books Buckinghamshire multimedia;grid-enabled;68652;2020-04-01T08:56:50;Upgradable holistic Fresh
4;Albania high-level PNG;calculating;deposit Forward olive;21789;2020-03-31T14:35:18;Money Market Account
5;utilize;Avon;Czech Koruna unleash indexing;13549;2020-03-31T14:21:36;Integration leverage
6;payment;salmon Bike;Gloves Facilitator wireless;30518;2020-04-01T05:26:53;system engine
7;Soft Guernsey;microchip SAS;invoice Open-architected contextually-based;69304;2020-04-01T02:17:33;Bermuda
8;Handmade Fresh Chair Bedfordshire;firmware convergence orange;hack;34105;2020-04-01T07:19:47;generate functionalities hierarchy
9;Auto Loan Account seamless artificial intelligence;Division compressing Kenya;synergize;72410;2020-03-31T10:35:44;vortals Home Loan Account Outdoors
10;structure;Small Plastic Ball Interactions Money Market Account;convergence Salad;25277;2020-03-31T23:24:36;Creative
