id;name;total_level;color_code;status;update_time;update_user
1;orange;79402;SSL revolutionize Mayotte;42182;2020-06-04T08:01:30;experiences
2;Usability Avon;73193;Fords fuchsia Assistant;14614;2020-06-04T04:15:59;Intelligent Rubber Fish Movies payment
3;payment Metal Bedfordshire;30519;mobile;39882;2020-06-03T19:42:39;composite
4;Dynamic Outdoors Fantastic Steel Towels;73926;Senegal;6833;2020-06-03T17:47:16;Senegal Streets Planner
5;dedicated;32067;Music Investment Account;2337;2020-06-03T20:35:29;connecting
6;bus Public-key Intelligent Wooden Tuna;12178;Dynamic Grass-roots modular;11677;2020-06-04T02:02:20;application
7;adapter;55757;Fresh Orchestrator;57774;2020-06-04T06:34:46;expedite Pula
8;Home hierarchy;20146;overriding high-level Fresh;50527;2020-06-04T07:13:23;Baht infrastructure
9;payment technologies;16800;capacitor Avon Garden;7489;2020-06-03T11:19:26;transmitter California Syrian Pound
10;functionalities;25587;model convergence Berkshire;34452;2020-06-03T15:35:25;Licensed
