id;parent_code;parent_name;object_code;object_name;location_level;center_loc;south_loc;north_loc;north_pole;geometry;status
1;open-source;Versatile French Southern Territories Fresh;Alaska Aruban Guilder;Home Loan Account;63607;recontextualize XSS;Delaware Borders blue;context-sensitive Tennessee Faroe Islands;vortals;bluetooth;35402
2;JSON;Robust;Buckinghamshire;Money Market Account;90645;Auto Loan Account bypass;communities program;Granite;Operations;global Borders Sleek;50509
3;product Grass-roots backing up;calculating payment;Ergonomic Metal Computer Outdoors Massachusetts;Turkmenistan Incredible Metal Bacon Cove;57062;copy Investor;transmitter e-commerce Markets;enable;e-commerce initiatives;Cuba Auto Loan Account incubate;47521
4;navigate bandwidth Business-focused;cyan;calculate Mouse Bedfordshire;Balanced;23619;Gorgeous Rubber Computer Wooden;Sleek National;New York Plains;Electronics Persevering TCP;Berkshire Savings Account Minnesota;32473
5;fuchsia;Home Loan Account calculating;Village Frozen;JBOD integrate encryption;91140;SSL 1080p deposit;Table virtual archive;front-end;Agent collaboration Customer;Reactive Solutions;62480
6;markets Savings Account;Sleek;synergy matrices;Group Customer-focused Refined Steel Ball;91805;New Jersey;web-enabled Tools;Creative deposit;Configuration;withdrawal invoice Checking Account;70715
7;syndicate Planner;deposit Reverse-engineered;Malagasy Ariary;e-business;88398;customized Metal;Investor e-markets De-engineered;online Shoes;payment Credit Card Account red;violet uniform Wooden;53985
8;Wooden asynchronous;Utah;Saint Kitts and Nevis digital expedite;relationships back-end;77797;CSS;clicks-and-mortar;Qatar communities Mississippi;Savings Account;Ergonomic;72305
9;e-markets;Clothing Tactics;violet Inverse content-based;Licensed Plastic;11018;THX Bacon intermediate;structure Assistant Generic Concrete Bike;Bedfordshire;Overpass Incredible Plastic Computer;override Austria red;17231
10;Open-architected;Tuna;Central;California Legacy Towels;23791;virtual Unbranded Metal Bacon De-engineered;JBOD;system models Generic Fresh Towels;orchestration;JBOD Global;30204
