id;query_kpi_id;kpi_id;status;description;update_time;update_user;table_destination
1;37454;79654;95071;application;2020-05-05T19:05:31;Table Computer;Trace
2;33370;60111;14286;deposit Tasty Metal Bacon Implementation;2020-05-06T09:26:27;Officer;methodology Albania
3;43194;2306;29122;Investment Account Steel;2020-05-06T02:26:53;24/7 Common bluetooth;syndicate
4;98323;59241;46676;HDD;2020-05-05T17:07:56;Centers;Factors
5;96563;56328;80839;access Intelligent;2020-05-05T17:02:17;infomediaries;Investment Account
6;83319;3438;17336;incentivize Tuna copy;2020-05-05T23:15:21;sky blue Georgia;Facilitator
7;77513;44975;93949;Chief Credit Card Account;2020-05-05T11:20:05;Awesome;Aruba
8;96117;32533;84453;compress South Georgia and the South Sandwich Islands;2020-05-05T19:22:39;Specialist Home Loan Account;Plastic
9;80219;16526;7455;Administrator;2020-05-05T14:55:33;orange Books;magenta monitor 1080p
10;60595;7404;92630;deposit Internal;2020-05-05T13:03:32;Highway Ergonomic;moratorium moratorium
