id;time_type;prd_id;kpi_id;kpi_code;kpi_name;obj_code;obj_name;parent_code;parent_name;input_level;val_plan;val_plan_mon;val_plan_quar;val_plan_year;val;val_mon;val_quar;val_year;val_last_mon;val_last_quar;val_last_year;val_delta;val_delta_mon;val_delta_quar;val_delta_year;percent_plan;percent_plan_mon;percent_plan_quar;percent_plan_year;percent_grow;percent_grow_mon;percent_grow_quar;percent_grow_year;color_alarm;domain_code
1;77551;60179;94987;content Integrated;action-items Computers;synthesizing Intelligent;incentivize Tenge Games;Assistant task-force Buckinghamshire;Specialist deliver withdrawal;86882;49371;14251;20530;4456;15435;32597;46896;93242;56409;97494;29683;84356;32752;11;59232;46185;82171;61781;52914;54753;71557;4019;53667;solid state withdrawal Pa'anga;Tennessee
2;16671;66619;7540;Granite;copy Strategist;Cambridgeshire Corporate;Gorgeous Regional systems;Wyoming Lead auxiliary;visualize implementation;99324;77216;41312;40629;51686;6517;59313;2850;43741;20612;40455;49526;38785;74092;36178;78806;51062;65510;71510;62834;59008;53060;32606;9519;Ports indexing;Plastic Electronics Granite
3;7223;46187;17523;e-business;National Movies deposit;Innovative synergize Mobility;Land Up-sized program;copying Decentralized;deposit Senior New York;94802;84094;97217;2968;99827;69636;25770;59815;24597;13536;85102;38964;57439;63538;21725;15175;25820;11427;99991;30616;48099;65334;14806;38001;virtual Borders Toys;Japan Books Bahraini Dinar
4;57540;42637;46544;Chips;navigating orange Cotton;portals Security Turks and Caicos Islands;Awesome Movies Sudanese Pound;Fantastic;input Berkshire;7347;93946;66369;34874;64470;59966;68771;99405;16953;53696;8335;73654;99798;93752;35275;64082;53734;56492;26659;96721;57154;8550;56819;49470;open system;systemic web-readiness back up
5;22438;67991;37870;Identity optimizing 1080p;maroon card;deposit Borders;incremental Rustic Frozen Chair;Cambridgeshire Checking Account homogeneous;Handmade;48751;56850;87646;90036;97686;51619;15907;7282;90050;27272;52837;34882;46102;68636;6975;45084;29445;12406;43319;88972;65151;61799;56463;41341;bleeding-edge;Connecticut wireless
6;54003;38448;80914;lavender Designer;Robust Moldovan Leu array;Internal Monitored;New Taiwan Dollar driver;Ways Georgia;Soft transmit Tasty Rubber Table;31265;92376;21146;97700;86939;85476;65173;52310;90811;93251;38117;43153;8161;2686;55576;35077;86222;96024;54313;31700;78316;79479;42491;4114;payment Computer;index
7;11592;29085;10214;neural Supervisor Shoes;Awesome connecting;cross-platform;interface wireless Greenland;Guinea-Bissau engineer;implement;87784;43939;60165;30716;22933;42748;26902;92457;91858;72921;74646;1108;68605;84889;16549;4080;20162;49247;60595;64186;1346;14944;77581;78899;Bedfordshire supply-chains connecting;open-source Tasty withdrawal
8;3695;71779;48209;cross-platform collaboration;Ergonomic;Handmade Technician deposit;Table bypass;Frozen;deposit frame Grocery;2689;95200;13727;19995;96936;78724;68162;98798;6078;47211;56896;64770;56614;93184;708;46063;24806;88677;84032;63720;47697;9685;85412;96938;copy purple;Unbranded Iranian Rial Planner
9;5523;20712;97406;Car;port Buckinghamshire compressing;Representative;Rwanda Franc Cheese;RSS niches;Agent Research Infrastructure;55303;28999;66171;42678;12081;34288;68779;63821;54525;41686;65923;17929;62289;13429;71175;99464;24766;36145;66235;23107;61391;34734;98921;6503;Cambridgeshire parsing;Plastic customized
10;93756;91116;79442;SMS;one-to-one synthesize bandwidth;Kentucky indexing Personal Loan Account;Haiti Trace payment;bus feed;capacitor;71541;41204;86865;14903;29378;83931;41093;54293;83663;35007;38908;62320;59563;38251;43769;19833;17085;85819;89088;3183;19364;92364;45201;28702;Harbors Cotton;Usability
