id;group_chart_id;area_id;position_json;status;update_time;update_user
1;83203;75756;USB Ergonomic;40755;2020-02-23T14:17:08;protocol Ergonomic Checking Account
2;77945;8702;Handcrafted Fresh Chicken;17727;2020-02-23T22:16:01;Tasty Locks Avon
3;76229;68307;Kuwait;88523;2020-02-24T10:00:51;PCI invoice
4;34676;24361;attitude-oriented Wooden Clothing;72078;2020-02-24T08:12:04;Forward
5;83848;88787;Avon mobile Cambridgeshire;99795;2020-02-23T23:58:32;auxiliary
6;89592;36652;feed Engineer programming;2111;2020-02-23T17:16:04;open-source Synchronised Gloves
7;84777;82874;Engineer;31404;2020-02-23T20:44:21;calculating Gorgeous deposit
8;11684;90328;Rustic Concrete Fish Digitized firewall;59539;2020-02-23T23:51:17;alarm online enable
9;89417;62294;Unbranded Plastic Sausages;36349;2020-02-23T23:06:54;Baby intermediate
10;92219;60928;orchestrate Car;74689;2020-02-23T19:33:34;Assurance
