id;report_id;row_id;row_name;org_id;column_id;column_name;rp_input_grant_id;time_type;prd_id;kpi_id;kpi_name;kpi_code;domain_code;object_code;value;description;update_time;update_user
1;94056;47163;parsing;95804;2976;microchip Intelligent Frozen Sausages;48893;59477;74924;53733;Baby;online visionary;Concrete Functionality;Communications;Interactions Specialist deliver;Auto Loan Account;2020-11-03T16:33:28;24 hour Concrete
2;27082;24273;matrix Chief Tactics;73229;17372;grey online Unbranded Metal Mouse;93694;82109;51153;31455;Practical Credit Card Account Data;neutral;internet solution Handmade Fresh Keyboard;New York;Handmade Wooden Sausages EXE;Metal JBOD;2020-11-03T20:57:49;Rubber
3;63590;72594;Bermudian Dollar (customarily known as Bermuda Dollar);50312;14597;orchid Point New Mexico;69845;84880;50636;85841;Trinidad and Tobago Dollar Handcrafted Wooden Salad Adaptive;Shoes;deposit Product;scalable compress Orchard;partnerships;Berkshire;2020-11-04T01:19:39;gold functionalities
4;28761;15115;National impactful Iraq;63478;15844;Handcrafted Granite Shoes orchestrate Nigeria;15064;74995;8580;84962;black;Generic contingency;leading edge;Towels;exuding Global website;Awesome Concrete Towels transition Assurance;2020-11-03T18:14:01;Virgin Islands, U.S.
5;23619;12601;Multi-tiered zero defect Table;6426;85899;parsing invoice invoice;72614;56447;31628;73311;Kenyan Shilling;Iraq Oregon;Rustic Frozen Shirt application;Small panel overriding;e-commerce;Industrial;2020-11-04T06:53:46;Incredible local
6;70858;10347;bluetooth Savings Account;58030;38955;Plastic Incredible collaborative;89982;2494;25005;10158;Solomon Islands Table;Gibraltar website Multi-lateral;invoice interfaces synergies;attitude-oriented Trail utilize;methodologies Computer Dynamic;Borders Investment Account;2020-11-03T23:49:14;Cross-platform
7;51904;13539;Ergonomic;73667;33371;Rustic Baht back up;38518;56233;33169;92750;Checking Account;Buckinghamshire 24 hour;model synthesizing Cotton;Metal matrix Coordinator;Health Movies;Tuna;2020-11-04T00:59:40;schemas
8;36425;96110;Qatari Rial navigating;36113;94937;Innovative service-desk;44240;31863;80539;40654;Legacy;web-readiness strategy;iterate Tennessee;XSS;parsing Idaho;solutions client-server e-enable;2020-11-03T15:05:13;payment Sports
9;19091;35572;Frozen;96982;37309;one-to-one Handmade exploit;68361;4648;58443;728;Dynamic Hat Nakfa;invoice alarm indexing;Road;Fantastic PCI sexy;Minnesota solution Cordoba Oro;Interactions Hills connect;2020-11-03T19:06:46;Walk Home Loan Account Square
10;33686;29588;Motorway;15137;47315;Directives;36514;14189;4182;47129;Cheese Tala;Investment Account;Seychelles Rupee Human;calculate parsing robust;Berkshire hacking;Ball;2020-11-03T09:28:29;cyan Berkshire
