id;time_type;prd_id;kpi_id;kpi_code;kpi_name;obj_code;obj_name;parent_code;parent_name;input_level;val_plan;val_plan_mon;val_plan_quar;val_plan_year;val;val_mon;val_quar;val_year;val_last_mon;val_last_quar;val_last_year;val_delta;val_delta_mon;val_delta_quar;val_delta_year;percent_plan;percent_plan_mon;percent_plan_quar;percent_plan_year;percent_grow;percent_grow_mon;percent_grow_quar;percent_grow_year;color_alarm;domain_code
1;35571;19364;1558;Digitized applications;back-end Maryland;Incredible Wooden Chips;matrix;Connecticut connect system;auxiliary incentivize Nebraska;64341;10983;44739;93037;56102;8229;41301;55800;74365;40068;64262;46617;81024;96368;58642;65388;23015;52382;20524;77242;62440;96375;66612;16478;North Carolina;Research back-end bi-directional
2;83568;58305;58438;Cambridgeshire;Product;Lithuanian Litas Fresh benchmark;firewall Technician;Kip Forward function;Shirt Parkway;10901;94707;91186;89063;58717;66717;99722;70141;40340;89406;84702;29185;61872;67219;51564;34442;82356;9072;8078;57932;4886;86787;1610;35264;action-items;Cotton Buckinghamshire Fantastic
3;56056;60779;59775;Borders neural pixel;hack;Car deploy client-server;multi-byte;Indian Rupee;Health Stravenue Configurable;41625;30445;73566;35984;96546;32801;25906;8012;83496;17722;39189;32554;41774;59768;41693;76325;62600;54704;22147;66026;49339;70598;29982;536;District whiteboard;Causeway
4;99600;50258;84373;Intranet;supply-chains;Viaduct Wisconsin;intuitive;clear-thinking Maryland online;content responsive;38225;89300;36260;14943;58868;15042;10628;47422;39829;5501;27417;97704;95764;52541;56316;57236;2099;75876;89883;26097;36458;79488;38253;949;Sausages Tools;Springs
5;78373;97437;12249;transitional Re-contextualized olive;Shirt target interactive;Outdoors program;haptic cross-platform Solutions;Orchestrator;Producer Tuna open-source;50738;88370;17378;53677;75470;76880;92359;32739;60912;6351;16508;45237;55515;37222;32068;92974;34938;45889;47449;19857;66867;16738;30509;37176;Practical Manager;array
6;69948;1868;87398;East Caribbean Dollar engineer revolutionize;Ghana violet XML;COM;Berkshire;HTTP orange Steel;bleeding-edge Indiana;24504;76981;27409;44987;78951;80837;47975;79172;2442;28370;476;94138;50550;19944;94559;31308;73362;55002;44449;92278;15924;3228;51075;41864;payment calculate;Virginia software Arizona
7;71714;26311;64642;generate;Intelligent Steel Corporate;Money Market Account Corporate Unbranded Rubber Towels;harness;program;Personal Loan Account Hawaii;46973;85685;14399;7083;90177;5939;33010;88607;67923;63620;51530;77576;69075;24600;2751;85425;2728;47604;96641;24702;37756;34807;45100;7442;Chips;Lithuanian Litas stable Avon
8;20230;51031;25123;connect;card;Saint Helena Florida;Somoni;Indonesia Toys Consultant;Tasty Plastic Table;90124;69250;50445;29709;17519;95701;890;5300;83324;66937;15552;55385;38031;20532;23913;12724;37436;70667;74755;62340;65978;8421;93702;14259;RAM override;Norwegian Krone Awesome
9;45560;60818;89039;Cloned Music;SSL Oregon;Square Handmade;Fully-configurable Handmade Soft Bike District;e-enable;moratorium;39921;98658;60389;59188;66732;30104;24952;20112;6829;39074;33206;61547;14387;18302;62798;98779;11739;3348;33033;56520;63917;57731;61025;60402;1080p cultivate backing up;Configurable Home Loan Account Ferry
10;61829;14141;4530;Colorado Rest Shoal;PNG magnetic;Cambridgeshire digital;synergy Orchestrator;mint green clicks-and-mortar Macao;Representative Gorgeous Wooden Hat;76601;53029;12499;5839;85559;2480;60115;25278;73300;42544;53319;40668;16325;77705;32926;66609;46320;37216;64992;75323;40611;39775;55800;96892;Home Loan Account;Regional
