id;time_type;prd_id;kpi_id;kpi_code;kpi_name;obj_code;obj_name;parent_code;parent_name;input_level;val_plan;val_plan_mon;val_plan_quar;val_plan_year;val;val_mon;val_quar;val_year;val_last_mon;val_last_quar;val_last_year;val_delta;val_delta_mon;val_delta_quar;val_delta_year;percent_plan;percent_plan_mon;percent_plan_quar;percent_plan_year;percent_grow;percent_grow_mon;percent_grow_quar;percent_grow_year;color_alarm;domain_code
1;26984;60510;69591;Usability;streamline;analyzer;tangible Technician;parse;Home Loan Account GB;4842;78431;97560;90586;67237;80960;32681;78738;14413;8945;40797;81628;36043;65454;70017;80685;7395;44977;723;74244;65690;60989;76595;34668;Interactions;Steel user-centric
2;51905;97008;61163;Rustic Soft Hat;Massachusetts Sausages;red Danish Krone;Sports application;Small Granite Hat;protocol;61935;91008;11122;31033;6762;50033;85847;430;94613;88382;28031;28905;87218;25515;51371;57233;62851;80954;47514;40946;91985;3623;40127;16252;haptic Movies;Bedfordshire Metal
3;90942;62093;88635;ivory Self-enabling Developer;International payment;JBOD modular;Maine Intelligent Soft;haptic Supervisor;Handcrafted Soft Cheese connect New Mexico;23625;2986;46766;56909;47692;7902;74556;89308;5596;48822;55782;61878;44963;28936;87653;14541;71849;2669;77588;70559;39133;99802;49620;49323;coherent mobile Movies;morph Baby
4;62499;22838;3778;generating Handmade Metal Pants National;online deposit;override navigating;Chips Illinois;Generic Frozen Gloves Generic;Pizza;79826;93756;40224;35411;30546;33074;49486;42803;23338;42593;27640;40990;41771;7229;40633;94894;82532;6121;68409;76219;87692;75960;29614;58376;scale;Small Concrete Hat
5;35092;10484;25690;invoice Ergonomic Delaware;Inlet;override;dynamic Burundi;Alaska HTTP bi-directional;compelling;1644;30606;63747;12179;77779;69372;4265;71839;82428;77651;8184;87191;45803;84159;76947;91273;16013;98051;94926;77216;21092;38075;79035;71642;Awesome Concrete Tuna;haptic Maine Antarctica (the territory South of 60 deg S)
6;74487;7104;25530;Dynamic Handmade Planner;Graphical User Interface Falkland Islands Pound;Sharable circuit connecting;Borders override Colorado;Creative;RAM Direct Macedonia;23076;4355;34145;53816;86036;11472;7222;29012;50343;26824;17592;50510;41527;98765;53193;43239;7153;72304;26158;80725;83720;9000;52053;58438;circuit Iranian Rial Ergonomic;West Virginia Som TCP
7;88187;77617;2845;Gorgeous;Beauty;Usability deposit Designer;reinvent Western Sahara;Toys;Team-oriented;73757;16791;8520;39806;77608;27830;21552;55800;56017;32874;93869;76181;73622;263;75523;73370;63548;20861;28600;36139;59780;48672;28325;99986;synthesize;leading-edge
8;36637;84145;94768;full-range copy;Wooden PNG Bacon;Small Fresh Chair Mandatory blue;Cambridgeshire Internal supply-chains;hard drive Credit Card Account internet solution;invoice Granite brand;81138;55612;19841;57089;40761;29815;93096;50723;85370;83169;68503;77324;94675;43164;87606;14459;87868;52219;90846;65031;13145;40157;7694;59259;Christmas Island;Director
9;24641;92333;995;generating;interactive lavender;Research;Baby indexing;redefine Applications array;AI capacitor Steel;56179;65781;69540;40663;38261;24755;49215;26371;65994;12227;48885;51775;62490;6025;96948;46669;76921;98546;7202;69415;61794;35265;93957;55142;Toys standardization Functionality;silver Syrian Pound
10;22900;77494;8810;European Unit of Account 9(E.U.A.-9) International;Horizontal Granite Minnesota;Supervisor;Borders synergize;Facilitator;Persistent payment transitional;71823;91352;26392;60856;43171;25984;41632;8285;13075;73543;52505;72947;15224;61784;16926;25245;22074;44552;42506;51760;92905;68418;74437;13813;Robust;navigate
