id;map_kpi_query_id;column_query;data_type;column_destination;status;description;update_time;update_user
1;37454;Directives application Home Loan Account;Dam;Practical Fresh Pants;60111;alarm;2020-05-06T09:01:12;Producer
2;83244;red Chips Soap;Home Loan Account;web-readiness;29122;Investment Account Steel;2020-05-06T02:30:10;24/7 Common bluetooth
3;19967;Cambridgeshire Mississippi;HDD;Table Small Frozen Sausages Planner;80839;access Intelligent;2020-05-05T17:05:34;infomediaries
4;12203;Buckinghamshire Games;incentivize Tuna copy;Costa Rica Mayotte;18485;Facilitator;2020-05-05T14:54:40;Markets Chief
5;59789;National Awesome sky blue;Tactics;scale interactive generating;35675;mission-critical Faroe Islands Plastic;2020-05-05T14:15:42;Small
6;98688;index orange;Jewelery;monitor;72900;quantify Unbranded Plastic Tuna Frozen;2020-05-05T12:48:00;Investment Account archive Fantastic Plastic Chicken
7;32518;pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;49379;Poland;2020-05-05T23:15:12;Grocery
8;10789;Outdoors;Harbor Montana;Corporate Phased relationships;75555;User-centric;2020-05-06T07:40:00;neutral Salad
9;92969;virtual deposit;Squares mint green e-business;Ghana back-end National;31800;Gorgeous Profit-focused synergies;2020-05-05T13:52:55;SQL Games
10;51074;supply-chains magenta;encompassing;Directives;32320;Mauritania;2020-05-05T16:38:31;robust Engineer
