id;query_data;default_value;status;description;up_date_time;up_date_user
1;HTTP Pizza systematic;coherent user-facing orange;29842;Pants;2020-02-24T09:48:10;Vermont
2;Guatemala Pataca cyan;extranet CSS Buckinghamshire;13290;index Practical;2020-02-24T12:03:49;cross-platform Data 1080p
3;Incredible Massachusetts;Agent Technician;86351;indigo Lead;2020-02-24T10:09:36;Shirt Corporate bricks-and-clicks
4;dynamic open-source;Clothing Lights;90115;Spur Reverse-engineered Planner;2020-02-25T03:18:23;monitor methodologies
5;programming Ouguiya Pa'anga;Rubber;30840;Soap;2020-02-24T11:50:38;engineer
6;Specialist Ergonomic Wooden Cheese payment;connect hacking;17722;Tasty Fresh Pants Ball;2020-02-24T17:27:18;Computer
7;red architectures Mauritius Rupee;XML Borders;19338;Chips invoice Savings Account;2020-02-24T13:36:44;black Turkmenistan Credit Card Account
8;New Caledonia 1080p Cambridgeshire;turquoise Cambridgeshire;19543;New Zealand Bond Markets Units European Composite Unit (EURCO) deliverables;2020-02-24T21:44:08;Electronics Texas
9;redefine SDD Bedfordshire;Kroon South Dakota;33356;transmitting;2020-02-24T19:13:06;matrix PNG Rustic
10;Coordinator Mouse Land;Future synthesize;19091;index;2020-02-24T15:56:44;Kenyan Shilling Innovative Paradigm
