id;column_name;title;data_type;report_id;is_require;max_length;regex_pattern;default_value;is_show;is_time_column;pos;status;creator;update_time
1;Jordan deposit;South Dakota initiatives green;magenta;46570;31112;90783;bandwidth-monitored;Intelligent Rubber Gloves out-of-the-box Avon;34775;72599;23227;60760;JSON Implementation Licensed;2020-04-03T01:25:36
2;invoice;Tasty moderator Chicken;Multi-channelled;42180;88459;31616;Music;Sausages standardization Dynamic;18863;4823;71178;35761;bandwidth brand;2020-04-02T15:57:40
3;Arizona Ball Chips;focus group Somalia;Shoes Global;86266;44879;62964;directional Investment Account synthesizing;interfaces Arkansas interfaces;50129;32117;60713;18663;Ohio pixel red;2020-04-03T05:56:24
4;parsing quantifying;Beauty navigating Dynamic;Course;69320;47149;44238;Illinois;Concrete generating;48222;10463;51800;69493;Fords calculating;2020-04-03T00:20:16
5;Expanded Computers;Functionality;PNG auxiliary;44110;28946;13003;scalable Intelligent Supervisor;Estates enhance;5201;85888;6082;56857;mission-critical;2020-04-02T15:40:09
6;French Southern Territories recontextualize;Investment Account invoice East Caribbean Dollar;Awesome hack Avon;64706;10501;45524;Minnesota Robust;Licensed firewall;77503;63273;61221;30530;wireless Generic;2020-04-02T21:06:17
7;Rubber Innovative Dynamic;Bulgarian Lev transitional Gateway;Rubber digital transitional;57899;96824;63646;Markets;Tasty gold Square;52010;55061;29639;12146;Brand Rustic feed;2020-04-03T07:26:01
8;out-of-the-box Fantastic Soft Fish;compressing;hard drive bypass;36302;55638;51138;Plastic;copying Plastic copying;84976;53611;67405;67858;process improvement Versatile;2020-04-03T06:08:05
9;maximized Hollow projection;backing up;Gloves;43479;54564;83126;navigate;Organized COM Games;41520;95355;51733;85521;Garden Liaison;2020-04-03T06:50:24
10;Michigan;monetize convergence;Intranet;85593;39989;55554;whiteboard Engineer;Mouse Applications models;1294;3354;58702;10133;virtual Buckinghamshire Bolivar Fuerte;2020-04-02T09:27:21
