id;prd_id;kpi_id;kpi_code;kpi_name;val_plan;description;update_time;update_user;total_rank
1;85579;2671;Nevada Virtual;Small primary invoice;84990;Licensed;2020-05-03T07:54:05;Buckinghamshire;90219
2;82839;11125;withdrawal Steel Colombia;engineer intermediate Directives;56566;Honduras Inlet capability;2020-05-03T05:45:11;vortals Tenge Savings Account;82277
3;39325;15970;bandwidth Planner leading edge;Chair Chief;37582;Cambridgeshire Designer Reactive;2020-05-03T23:06:34;initiatives;32085
4;14974;56954;Product Implementation;South Dakota Incredible Plastic Bacon time-frame;93814;Cheese Fantastic Soft Table;2020-05-03T08:46:29;Bacon Guernsey evolve;86643
5;75009;34644;Progressive system;Fresh Administrator digital;16370;orange;2020-05-03T07:10:08;Concrete Street;77571
6;98139;82268;quantifying actuating back up;azure connect;87007;Gorgeous platforms Granite;2020-05-03T20:36:02;withdrawal;79983
7;12814;1973;Wooden;killer;92913;THX;2020-05-03T22:43:00;Soft Pants;19672
8;97525;60418;turquoise Tokelau;Switchable schemas;30955;Steel;2020-05-03T05:35:47;compressing quantify;77042
9;44834;13939;navigating e-business;Connecticut Handmade fuchsia;91906;Chair;2020-05-03T11:56:55;Program JBOD;39943
10;99717;90289;navigate Rustic yellow;Applications;81286;withdrawal payment Soft;2020-05-03T17:37:21;THX Tanzanian Shilling;8379
