id;query_kpi_id;kpi_id;status;update_time
1;37454;Directives application Home Loan Account;15601;2020-05-05T22:28:02
2;15599;Practical Fresh Pants;60111;2020-05-06T05:44:18
3;70807;Movies Producer;83244;2020-05-05T10:38:32
4;21233;Chips;18340;2020-05-05T18:20:52
5;30424;Albania web-readiness;29122;2020-05-05T20:34:22
6;61185;Steel zero administration;36636;2020-05-06T03:34:50
7;45606;bluetooth;19967;2020-05-05T23:59:17
8;51423;Mississippi Refined Rubber Chicken Table;6505;2020-05-06T08:50:56
9;94888;Planner cross-platform access;9767;2020-05-06T03:37:33
10;68423;infomediaries;12203;2020-05-05T18:31:39
