id;title;user_id_sent;content;file_attach_path;file_attach_name;screen_id;create_date;json_data;is_system_notify;is_sent;update_time;update_user
1;Rustic bleeding-edge;85985;Jewelery;Metal systematic generate;purple Shores transmitting;35470;2020-04-02T07:06:43;vertical Executive;56641;66299;2020-04-02T09:01:41;Tuna invoice Credit Card Account
2;e-enable synergies synthesizing;64245;partnerships Forges Specialist;Officer solutions compressing;Gloves;41679;2020-04-02T09:44:30;generate 6th generation;90963;14496;2020-04-02T06:11:00;payment Avon Terrace
3;interface;66502;Borders;metrics client-server;multi-byte Usability;28485;2020-04-03T02:41:06;generate Spur Gorgeous Steel Bacon;98509;14833;2020-04-03T03:11:08;workforce
4;non-volatile;44900;wireless Engineer Home Loan Account;back up bluetooth;Pataca Checking Account;41126;2020-04-02T14:11:30;bandwidth back-end;41123;13316;2020-04-02T11:47:06;Cambridgeshire Investor customized
5;withdrawal Barbados;39233;Forward scale SMTP;bandwidth-monitored;program Credit Card Account;56977;2020-04-03T01:54:18;Car;56277;77390;2020-04-02T17:53:24;override
6;Utah Chips Avon;88127;payment;Jamaica;regional New York Grocery;9619;2020-04-02T19:19:21;Small Metal Ball matrix;9093;97386;2020-04-02T17:16:06;Salad Handcrafted action-items
7;compress;10781;Tuna Tennessee visualize;Product;violet Afghani Specialist;49036;2020-04-02T10:31:01;Investment Account Checking Account;92794;38226;2020-04-02T21:00:41;white sensor payment
8;Digitized;39477;Australian Dollar withdrawal;mindshare Music;Brunei Darussalam Generic Plastic Chips Object-based;90750;2020-04-02T10:01:14;Agent solid state;73892;70863;2020-04-02T17:52:42;invoice
9;infomediaries neural Algerian Dinar;91657;IB Checking Account Administrator;real-time utilisation;matrix;55223;2020-04-03T00:11:02;robust Practical;86149;49258;2020-04-02T14:47:01;Key pixel Licensed Steel Soap
10;Cordoba Oro Movies;92985;Licensed connect;Arizona Rustic;customer loyalty;64470;2020-04-02T15:48:26;world-class Refined Metal Gloves Greenland;36264;21092;2020-04-02T21:04:44;sticky
