id;chart_code;chart_name;title_chart;type_chart;time_type_default;relative_time;has_tooltip;chart_url;group_chart_id;order_index;group_kpi_code;domain_code;status;description;update_time;update_user
1;Stream Chief;copy optimizing;Architect Bermuda Keyboard;Brazilian Real user-centric Saint Martin;95252;15627;52702;Avon;62563;75483;Soft bypassing;Object-based Buckinghamshire;78971;Progressive Pennsylvania;2020-02-24T23:46:07;optimize Ethiopia program
2;functionalities;Health secured line;Utah turn-key Argentine Peso;redefine payment bus;17646;45249;92046;Nicaragua Metal hacking;33385;46931;extranet Iranian Rial;Sleek;89255;matrix;2020-02-24T11:45:39;Optimization JSON
3;San Marino Operative multi-byte;Mobility Georgia;Paraguay pixel Auto Loan Account;Strategist;74001;30078;55333;payment COM Proactive;88667;65936;Intelligent Rubber Bike override JSON;Avon;50775;mint green users sensor;2020-02-24T09:56:18;Robust Chief Computers
4;Organized Bedfordshire port;Buckinghamshire;Bedfordshire Car;attitude-oriented;30802;48287;42704;static Greens Communications;61740;83699;Beauty;Unbranded Generic;82808;green extranet USB;2020-02-24T05:51:28;implement Compatible
5;firewall;Pants;IB transmit Extended;black;19783;44054;81966;Face to face Executive;64525;65854;Wooden bluetooth streamline;Parkway;96717;demand-driven XML Agent;2020-02-24T10:48:32;Computers
6;Analyst;Lead Chips payment;installation;compelling Engineer calculating;29135;26039;43366;Concrete deposit;34071;34030;capacitor;quantify;29795;compress;2020-02-24T14:07:12;IB
7;Denar;Fiji Dollar;reinvent;Investment Account;92945;38025;95936;leading-edge;43299;66601;Rubber;Ergonomic;87525;Consultant Generic invoice;2020-02-24T11:14:23;action-items neural New Hampshire
8;programming Mozambique driver;Licensed Manor;compressing Gloves monitor;Handmade Ergonomic;80798;95759;92997;index Argentine Peso Total;72732;36758;programming white Mountains;human-resource;48312;Incredible Fresh Soap Squares Tennessee;2020-02-24T17:56:51;sensor fresh-thinking Dynamic
9;Rubber bandwidth Mall;Refined Soft Gloves;Concrete;Web;27909;61761;71539;bluetooth;59850;85851;auxiliary Naira radical;Station Maine;8858;CSS;2020-02-24T21:06:49;Berkshire indigo
10;Tasty;Puerto Rico Wooden Michigan;programming Handcrafted Wooden Cheese;CSS projection;86640;12072;6620;Berkshire;98175;66360;program;Legacy;99906;Minnesota;2020-02-24T13:05:32;Spurs
