id;item_chart_id;column_query;data_type;column_chart;is_require;status;description;update_time;update_user
1;32745;New Hampshire XSS;Pitcairn Islands recontextualize maroon;Specialist Licensed Fresh Gloves;42747;36371;Communications Intuitive Product;2020-02-23T22:05:25;Quality
2;90773;Unbranded;withdrawal channels Auto Loan Account;Costa Rican Colon Bedfordshire zero administration;1787;23715;Group JBOD Chief;2020-02-24T03:58:21;platforms Electronics
3;73865;Alabama infomediaries Corporate;bluetooth Sri Lanka Rupee approach;Gorgeous Granite Computer;35930;12407;Direct bypass;2020-02-24T02:49:34;multi-byte analyzing
4;28852;Democratic People's Republic of Korea capacitor;card Kansas;Fantastic Granite Chips IB;8659;60784;New York withdrawal;2020-02-23T12:11:12;harness program optimize
5;41736;Jersey invoice Corporate;reintermediate ADP Moldova;Practical Wooden Towels;62700;75002;Seamless syndicate;2020-02-23T11:59:31;Automotive sky blue payment
6;64937;synthesize;sky blue deliverables;virtual Hawaii;57851;35271;Mississippi Managed B2C;2020-02-24T10:16:27;parsing
7;21333;Buckinghamshire 6th generation;overriding;Borders eco-centric;80171;55249;Missouri programming;2020-02-23T14:15:59;multimedia
8;770;strategic;capacitor;program;47297;27103;Handmade Metal Salad architectures;2020-02-23T22:04:36;Towels ROI open-source
9;10243;Refined Wooden Cheese Business-focused;Cheese;Overpass Ports Customer;6959;73872;Down-sized Small Wooden Hat empowering;2020-02-23T22:35:50;invoice
10;2571;integrated withdrawal Savings Account;Liechtenstein Graphical User Interface Liaison;Persistent;94948;19667;Unbranded Wooden Mouse ROI;2020-02-23T13:21:52;bluetooth generate
