id;chart_id;area_id;order_index;screen_id_nextto;status;update_time;update_user
1;50627;72260;58439;29925;42894;2020-02-23T15:19:34;Berkshire Cliffs Bike
2;44107;21551;2316;31051;43121;2020-02-23T23:01:46;user-centric
3;8219;14589;44637;83289;28245;2020-02-23T22:28:24;Salad deposit
4;19681;60360;12014;92504;90033;2020-02-24T06:41:14;clicks-and-mortar
5;25136;40497;51388;32662;34601;2020-02-23T15:51:25;Developer
6;75268;24721;15138;45542;17169;2020-02-23T18:07:01;Functionality
7;52319;3489;30100;88441;61775;2020-02-23T16:21:01;Freeway Data alarm
8;54280;90448;45119;13530;91732;2020-02-23T17:03:21;projection Toys solution
9;42316;86099;73766;59424;22597;2020-02-24T11:17:23;Money Market Account
10;50460;79133;19750;58388;96938;2020-02-23T12:39:34;Programmable
