id;item_id;item_code;item_name;item_value;category_id;category_code;position;description;editable;parent_item_id;status;update_time;update_user
1;49463;Liaison Engineer Gloves;Kiribati;multi-state Direct;77931;SCSI Canadian Dollar;89902;overriding Turks and Caicos Islands United Arab Emirates;23404;1440;75396;2020-02-20T00:36:59;calculate yellow
2;92204;Leone Berkshire neural-net;transmit;Security Soft Chief;49661;Hawaii;62968;Keyboard;40694;19457;10262;2020-02-19T13:32:17;vortals
3;49056;programming Applications bypassing;digital Bike;Virginia content Albania;54641;optimize;80044;turquoise array optimizing;8482;79670;91964;2020-02-20T01:01:24;Metal
4;90198;methodologies;Soap e-business Taka;proactive;42895;payment Junctions proactive;48845;drive Integration backing up;31442;34364;89282;2020-02-20T09:20:18;experiences
5;94552;Borders Personal Loan Account Peso Uruguayo Uruguay Peso en Unidades Indexadas;Saint Vincent and the Grenadines Inverse;Web indigo e-markets;99757;Generic Data;84248;reintermediate deposit;29254;78082;69319;2020-02-20T05:48:24;Generic Frozen Fish
6;14163;transmitter;utilize Personal Loan Account Swedish Krona;mobile PCI Cambridgeshire;46623;Granite;22040;Yen Land solutions;35858;16124;65224;2020-02-19T21:38:45;bandwidth Rustic Fresh Bike SMTP
7;48142;Producer technologies Lek;Plastic database;auxiliary Leone;23922;Pakistan Rupee extranet Dynamic;14029;recontextualize reinvent blue;3014;95826;95096;2020-02-19T12:26:56;firewall Factors
8;193;extend haptic indexing;Lead transmitter;Forward gold;97025;platforms Officer;5484;navigating Idaho functionalities;56062;65347;97195;2020-02-20T01:06:50;Open-source Personal Loan Account
9;77461;Azerbaijanian Manat monitoring robust;Cross-platform GB;vortals SMTP Metal;71651;superstructure;43138;grey web services Tokelau;54847;93060;14846;2020-02-19T17:47:44;strategy Buckinghamshire Supervisor
10;1026;redundant overriding;vertical payment;panel Licensed Frozen Pants Global;43163;overriding;77465;internet solution Reactive Awesome;84173;38180;21883;2020-02-20T03:12:04;cross-platform
