id;time_type;prd_id;kpi_id;kpi_code;kpi_name;obj_code;obj_name;parent_code;parent_name;input_level;val_plan;val_plan_mon;val_plan_quar;val_plan_year;val;val_mon;val_quar;val_year;val_last_mon;val_last_quar;val_last_year;val_delta;val_delta_mon;val_delta_quar;val_delta_year;percent_plan;percent_plan_mon;percent_plan_quar;percent_plan_year;percent_grow;percent_grow_mon;percent_grow_quar;percent_grow_year;color_alarm;domain_code
1;29264;49532;92017;Web Research enterprise;disintermediate morph;Ergonomic Frozen Car interface world-class;orchid Security;Data Handcrafted Wooden Towels Stravenue;Supervisor;50190;81912;68964;20778;28220;28868;27567;95490;63622;95697;35879;28025;33288;49853;11075;74226;56513;31212;93112;98526;14760;22846;63008;42522;Executive online;solid state clear-thinking
2;63824;64751;6397;bandwidth Gorgeous;communities Puerto Rico Licensed Frozen Computer;Frozen Books;Pike artificial intelligence 5th generation;port repurpose definition;reintermediate bus invoice;92428;57405;98970;5361;48239;23552;58912;75108;35231;13694;35262;20354;49555;26093;97332;85435;53304;89316;4508;19516;63062;89916;48891;39174;Buckinghamshire;Senior compelling Health
3;92330;57419;14295;content;white;directional;Plastic;backing up driver copying;Soft;69870;54472;26714;63037;36016;28532;20568;84930;76168;20914;11139;91703;21930;41597;96603;50265;93024;72116;12894;89409;64786;37009;73391;15326;THX Cotton quantifying;Customer transform pixel
4;37135;59349;58472;connect;quantifying;Frozen;Borders Toys focus group;red Auto Loan Account;program Money Market Account Engineer;19355;54633;13385;26100;91500;12225;86037;66689;91953;33027;37773;49336;819;18574;82663;12777;80023;14840;32073;93226;56273;35213;4776;41579;Handmade Plastic Gloves foreground Future;bus Intelligent Metal Keyboard Practical
5;81900;85462;80015;Generic Plastic Bike Rubber Checking Account;Automotive Gloves program;Auto Loan Account Handmade;Sleek Plastic Ball Corporate interface;Generic 1080p;Brazil;51504;4051;98721;77723;20810;29932;89898;99307;26188;22092;49844;70737;87252;9639;13992;83829;20258;521;17327;84746;63600;63098;70481;97626;Surinam Dollar SCSI;Minnesota navigate
6;89270;64094;96354;Coordinator Cotton;sensor Hat;pink Nebraska functionalities;Rustic web-enabled;Assistant Mobility solutions;neural cross-platform;58864;57686;41499;5508;29896;52715;57521;44368;71044;90341;62838;38311;86788;84177;62639;72831;42152;54962;15555;22755;12574;82289;28183;48512;synthesize optical Money Market Account;Mississippi pink
7;51722;80991;65130;bypass plug-and-play Morocco;Multi-channelled lavender;Cotton;Nebraska application Western Sahara;Marketing Berkshire;workforce Money Market Account;30528;7648;74712;11175;86728;88459;59983;15223;60666;34688;37393;6779;71465;33426;50400;45874;38383;60040;80817;91945;93456;55789;16469;22984;Associate ROI Metal;leverage target
8;64529;75581;83769;Generic Lead Mews;index Virginia;Senegal Switzerland Investment Account;transmitting;Fantastic Operations target;Fantastic redundant Health;50580;43343;24082;86662;2085;22090;62687;627;37486;29708;32791;31158;36297;3175;72027;89879;1966;15277;81886;14223;13799;20297;72243;97464;Credit Card Account;pink reciprocal
9;15867;97872;35737;synthesize Clothing;bypass Rustic Regional;THX;users;complexity invoice Credit Card Account;generate Markets magenta;87584;95576;28218;61395;92899;18723;9771;55365;84427;12859;80779;32901;51515;21131;15293;82228;66803;4022;45152;49415;87282;53368;44323;92659;Cambridgeshire;protocol auxiliary Handmade
10;49333;59407;704;Cambridgeshire front-end bandwidth-monitored;alliance azure deposit;installation;solid state redundant innovate;deliver Berkshire Front-line;Agent payment;80989;86658;67915;5878;93329;27493;39997;83185;71707;12503;72672;28134;80716;25040;6157;11790;22240;17280;72559;18002;44054;6588;82398;19352;Armenia;Music Future-proofed Automotive
