id;kpi_id;kpi_code;kpi_name;kpi_display;unit_kpi;unit_view_code;rate;status;group_kpi_code;domain_code;source;description;update_time;update_user
1;97633;time-frame Forward;Licensed Fresh Shirt Maryland Awesome;North Carolina;Shirt Distributed;Grocery;34097;40163;Dam Representative;Multi-tiered PNG seize;violet;Gorgeous Frozen Shoes;2020-02-23T21:11:56;French Southern Territories
2;39800;parse facilitate Kentucky;Gloves workforce;infrastructures Solutions;District Malawi Wyoming;deposit index;18193;32241;benchmark Peso Uruguayo Uruguay Peso en Unidades Indexadas;Designer blue;USB;optimize salmon Intelligent;2020-02-23T21:52:40;relationships Jewelery Borders
3;95428;transition Sleek Concrete Pants;Borders Grass-roots;Heard Island and McDonald Islands e-commerce;bricks-and-clicks;Auto Loan Account programming overriding;69208;59985;deposit Kids Marshall Islands;Handcrafted;analyzer array;Tasty Metal Salad web-readiness Monitored;2020-02-24T11:01:26;copying Forward visualize
4;52065;Manager Re-contextualized;Granite directional;Representative Guarani Rustic Steel Chair;deliverables Car;withdrawal Gorgeous;32131;7209;Cayman Islands Dollar grey;Cambodia Personal Loan Account port;array clear-thinking;COM PCI;2020-02-23T18:01:00;Fresh
5;43103;fuchsia circuit TCP;Concrete bluetooth;Bahraini Dinar wireless Shoes;neural program Fiji Dollar;lavender;66469;69751;Savings Account;Generic Sleek Soft Sausages;pink;alarm;2020-02-23T22:05:53;needs-based
6;74288;auxiliary;Auto Loan Account Computers backing up;cross-platform;Auto Loan Account Keyboard Generic;exuding bi-directional;32036;74773;Senior;Research Ergonomic online;synthesizing;Chair reboot;2020-02-23T19:16:30;HDD deposit
7;41515;Key Designer;Refined bleeding-edge Avon;Sausages optical Sports;hacking challenge;Human platforms pricing structure;25412;9871;Refined Gorgeous Plastic Bike;calculate;calculating auxiliary;Dynamic;2020-02-24T08:54:36;Money Market Account Loaf paradigm
8;64862;sensor;interfaces;Games Dynamic Ohio;communities Kenya Inverse;COM;79848;43231;Intelligent Frozen Cheese;Beauty;relationships Morocco bypass;compress;2020-02-23T19:42:01;payment Mobility
9;75586;Legacy Auto Loan Account customer loyalty;lime programming transmitting;modular;Solutions orange Handmade;Sharable Plastic Iraq;13295;75800;bus;wireless Analyst revolutionary;Fantastic Customer;Handcrafted Wooden Towels;2020-02-24T04:50:01;Keyboard
10;9505;feed;interface evolve heuristic;Village;Creative District;THX;96615;12490;deliver deliver Sri Lanka;Solutions invoice payment;Sausages Mouse;Ergonomic budgetary management Ports;2020-02-24T11:01:23;reinvent
