id;menu_code;menu_name;domain_code;status;description;update_time;update_user
1;azure sensor;niches Ergonomic Soft Tuna cutting-edge;help-desk Bedfordshire;66560;recontextualize;2020-02-24T02:47:10;out-of-the-box
2;Enhanced Officer Kwacha;Ridges Handmade Metal Chicken parsing;compress;65563;Operations Fresh Morocco;2020-02-24T06:35:13;complexity Concrete primary
3;maximized stable Wooden;Pound Sterling brand;circuit card Shoes;92688;ivory Massachusetts quantifying;2020-02-24T03:10:21;Borders
4;payment;optimizing Buckinghamshire;migration Generic Personal Loan Account;20343;Naira Stravenue transform;2020-02-23T18:38:04;Checking Account Games
5;Incredible Montenegro;Equatorial Guinea;Checking Account Games;2257;6th generation Implemented microchip;2020-02-24T03:48:16;withdrawal
6;withdrawal;index;Rubber;45316;complexity;2020-02-23T13:13:52;asymmetric
7;Senior;facilitate navigate Unbranded Granite Towels;Rustic brand;51729;deposit;2020-02-23T12:12:12;Buckinghamshire JSON
8;Marketing monitor;embrace synthesizing Fresh;brand Steel;58929;programming;2020-02-23T11:44:36;Awesome Fresh Tuna Belize Dollar Viaduct
9;Optional Books Awesome Soft Shirt;Money Market Account Tasty Rubber Shoes transmit;Cambridgeshire Developer;94750;Checking Account primary Multi-tiered;2020-02-24T02:29:05;Bike synthesize
10;morph JSON;Handmade Wooden Tuna;neural Tasty deposit;48888;Lilangeni Focused;2020-02-23T19:57:21;array Florida Chicken
