id;kpi_id;prd_id;status;time_type;warning_type;warning_level;warning_content;update_time;update_user;table_name
1;36525;14091;91016;71606;33730;19885;incubate payment Buckinghamshire;2020-08-13T02:07:08;Virginia;Convertible Marks function overriding
2;23095;22578;84893;13945;76398;52051;database Unbranded Fresh Bacon AI;2020-08-12T19:41:08;green frame;best-of-breed Multi-layered
3;90688;9169;5524;40153;98192;54872;Plaza Rubber Web;2020-08-12T09:55:21;Implementation Developer;SCSI capacitor
4;36114;83142;76032;34257;98256;79248;firewall function;2020-08-12T20:19:56;budgetary management Towels;District JSON
5;84830;26929;83489;22138;74214;86114;Nebraska cross-platform Rustic Plastic Hat;2020-08-12T05:47:23;paradigms Licensed compressing;Shoes Ball
6;26578;97645;29460;76730;25754;16047;system quantify;2020-08-12T17:04:38;paradigms Designer New Mexico;Mobility HDD Steel
7;6776;59800;83060;60792;30634;31133;Steel;2020-08-12T14:06:41;invoice Multi-layered;hacking
8;20455;3027;95149;14795;70538;89574;Strategist Licensed Metal Chicken;2020-08-12T23:23:34;SCSI leverage connect;Costa Rican Colon
9;15283;76910;8942;83174;83354;34721;copy needs-based Towels;2020-08-12T08:49:46;Computer Persistent;circuit
10;35571;80635;31532;84263;27140;72645;Italy Towels Ball;2020-08-12T07:25:52;Awesome Metal Computer;Nevada hack
