id;area_code;area_name;order_index;position_json;screen_id;time_refresh;status;description;update_time;update_user
1;Dobra auxiliary protocol;holistic Generic Concrete Pants synthesize;63817;Tennessee;23099;56914;29387;ubiquitous;2020-02-23T17:26:29;payment lime Investment Account
2;Incredible Metal Cheese Accounts auxiliary;Intelligent deposit strategic;79260;Cambridgeshire extensible Highway;40327;92662;16184;exuding Producer;2020-02-24T02:14:58;killer Nevada connecting
3;Forward Phased open system;Technician plum West Virginia;7147;radical;64148;12184;5577;Rhode Island internet solution;2020-02-24T02:00:12;embrace Research
4;synthesize models Metal;SDD;12057;Innovative withdrawal;85647;45027;14048;back-end Home Loan Account;2020-02-23T22:42:39;Quality-focused Crest algorithm
5;Health;Re-engineered deposit;20035;Falls;90304;82894;99349;Tasty Bedfordshire systems;2020-02-23T16:54:16;Sausages Streamlined Terrace
6;Networked teal hierarchy;Ouguiya white Steel;61861;Central;64184;90255;23731;cohesive Outdoors;2020-02-24T06:15:29;Avon
7;withdrawal Colombia Paradigm;Manor;28995;Intelligent Cotton Tuna frictionless Sleek;79061;11261;66614;Sleek Frozen Pizza;2020-02-23T22:24:01;SQL Palestinian Territory calculating
8;Iceland Krona Practical Granite Car PNG;Consultant Central;24253;calculating Automotive microchip;93307;24186;60109;whiteboard;2020-02-23T19:16:27;optimizing withdrawal
9;Bedfordshire;Hat;35439;collaboration wireless;70366;19736;76990;matrix Switzerland;2020-02-24T07:35:15;Shoes bleeding-edge Awesome
10;24/365 Salad cyan;AGP;55180;North Dakota Ball;60679;41115;21976;interactive synthesizing Checking Account;2020-02-24T07:52:19;niches
