id;menu_item_code;menu_item_name;is_default;order_index;menu_id;status;description;update_time;update_user
1;Auto Loan Account;Senior Unbranded Cotton Computer;64285;1577;74318;27840;Legacy;2020-02-23T20:33:52;Algerian Dinar primary paradigm
2;North Dakota;Bedfordshire;35117;81580;2679;54634;Representative Rubber Concrete;2020-02-23T16:08:03;SQL Savings Account
3;Liaison intangible;invoice Lempira Analyst;18646;70304;38997;64872;Rand;2020-02-24T07:30:26;installation
4;Gorgeous Fresh Pizza Guyana Dollar;Cambridgeshire;31660;36807;58136;53220;eco-centric French Southern Territories compress;2020-02-23T17:15:20;Ameliorated
5;Ergonomic Soft Pants Ergonomic Concrete Salad;compress Reactive;51757;12008;49768;3855;Fresh;2020-02-24T00:23:33;aggregate global
6;synergies Junction Architect;context-sensitive Shore web services;6082;72896;6226;68661;fresh-thinking;2020-02-24T09:17:55;Unbranded
7;instruction set;Tasty Plastic Shirt;68245;95612;92301;11553;Graphical User Interface quantify;2020-02-23T17:02:21;quantifying
8;AI regional;XML Burg;93892;18857;64595;17771;e-business standardization;2020-02-23T22:09:49;connect
9;XSS;Electronics gold extensible;72495;69880;45934;98620;Greens;2020-02-23T14:22:16;Strategist Cuban Peso Peso Convertible Bacon
10;Intranet bus Avon;SDD open-source Fields;77493;2390;35961;49228;azure overriding;2020-02-24T07:49:54;Intranet
