id;time_type;input_level;prd_id;kpi_id;kpi_name;obj_code;obj_name;parent_code;parent_name;val;update_time
1;93475;97087;98105;72561;Somalia Generic Rubber Sausages;Handmade;Gloves National;calculating Port;moratorium Practical functionalities;26224;2020-04-07T03:19:26
2;56780;33239;6325;93321;SMS Money Market Account Decentralized;withdrawal;Analyst Drives morph;Tasty Soft Mission;RAM;40458;2020-04-07T08:33:06
3;25102;17479;77706;30401;Ergonomic Plastic Car;Handmade Rubber Cheese;National Handmade generating;repurpose Kip Tennessee;Configuration;1305;2020-04-07T02:22:45
4;45891;88431;25118;93521;Florida;projection;hard drive program United Arab Emirates;Optimization;Intelligent Gorgeous;6892;2020-04-07T07:32:29
5;30892;30038;54854;1988;GB;Coordinator;Optional Dynamic Diverse;Tasty Steel Soap Nebraska;Multi-layered solution;80315;2020-04-06T21:14:34
6;21912;23725;43092;80264;copying;sky blue connecting;Fresh;optical Manors;Auto Loan Account;40291;2020-04-07T07:27:42
7;23848;44402;91220;72940;payment Intuitive Chair;redundant sensor;Crossroad repurpose;Avon virtual;Analyst;23226;2020-04-07T09:42:53
8;85701;48117;54967;65983;Club;Planner human-resource;PNG;Pass;Outdoors;55213;2020-04-07T02:07:01
9;41152;2091;64238;19671;Ergonomic;salmon;Tasty Steel Gloves deposit;Liaison;National;88553;2020-04-06T16:42:03
10;12590;7359;7792;64898;transmitting online synthesizing;Shoal;Borders neural;navigating content-based Wooden;Electronics;95718;2020-04-06T21:03:24
