id;time_type;prd_id;kpi_id;kpi_code;kpi_name;obj_code;obj_name;parent_code;parent_name;input_level;val_plan;val_plan_mon;val_plan_quar;val_plan_year;val;val_mon;val_quar;val_year;val_last_mon;val_last_quar;val_last_year;val_delta;val_delta_mon;val_delta_quar;val_delta_year;percent_plan;percent_plan_mon;percent_plan_quar;percent_plan_year;percent_grow;percent_grow_mon;percent_grow_quar;percent_grow_year;color_alarm;domain_code
1;80768;72448;37650;Plastic back up;functionalities Metrics;Refined card syndicate;Industrial Customer-focused Refined;Garden;local Lodge;21920;19127;4384;94614;25155;73257;33774;42225;89712;90346;81880;97700;91213;75333;28007;33209;71834;99790;87717;97742;77587;76458;23813;9559;Intelligent Analyst;payment
2;62506;88467;5664;Data Interactions;withdrawal;Regional;Fresh;Belize Steel Horizontal;De-engineered pixel Handcrafted;8688;50290;76041;42451;13369;80570;45977;77667;16414;63516;12296;23333;72831;91410;22337;72798;8619;25099;98391;68536;86113;57161;92682;32381;Bulgarian Lev override calculating;Gorgeous Granite Gloves
3;51894;9096;19560;Intelligent;Cheese Fresh;Ball New Zealand Seamless;needs-based Berkshire;Berkshire;Unbranded;82878;60092;90978;32514;67995;92603;96682;34604;35055;77784;6845;52240;96484;16212;72539;37976;51447;26275;91532;22448;66;9872;87648;16644;partnerships Ergonomic Cotton Sausages time-frame;Unbranded
4;85009;81202;76599;Investment Account;orange;Sausages;markets Program;Small Soft Hat Iowa;bandwidth Wooden service-desk;79429;70355;62590;2751;96128;16473;89878;827;19911;66425;25862;50868;63685;95962;59900;64546;19104;43846;27028;20870;16377;3484;12974;15036;transmit calculate mesh;Generic Rubber Shoes CSS
5;85650;48034;64722;EXE;Nebraska TCP Tuna;back up solution-oriented reboot;Customer overriding;transmit programming;Customer Plastic;95502;63462;89478;77682;28319;31771;17368;7365;50103;326;79369;85157;85110;28389;69645;76025;21170;54529;78096;28756;77025;14364;72337;41351;Tools leading edge TCP;Refined Granite Chair Courts
6;85912;98690;40459;Handmade Soft Table Exclusive;Armenia;mindshare Agent discrete;portals Division;ubiquitous Beauty Bacon;info-mediaries virtual leverage;83725;33224;28806;35831;55377;48017;95146;64362;80800;71416;78823;76493;85068;9324;7463;87195;99439;46166;28897;64342;16772;38615;51284;65350;Small Wooden Chair;Fresh convergence
7;62585;86848;92028;Ohio Montserrat Principal;Pants;Metrics;National Handcrafted;index multi-byte;Plaza Officer open architecture;45050;41995;77456;52794;95892;3503;37988;39462;54420;54065;68499;85376;76966;65917;60199;37563;20655;15096;98455;18065;10775;45692;81203;51494;SAS core;Steel channels
8;41824;16688;13474;Rubber;indexing port Awesome Rubber Chair;Spur HTTP;teal;Branch Bedfordshire transform;index;9566;5173;86371;44681;68487;98596;93778;76469;33441;13487;74235;8675;31845;98321;19339;21488;40082;8987;46850;49848;39744;73967;36088;97404;Walk SAS;content-based Borders
9;41728;26688;83249;Directives;Djibouti Franc Investment Account experiences;Engineer Baby;Face to face RSS Mountain;HDD reboot Dynamic;generating markets Movies;16463;33347;37406;1466;90451;16252;30334;68230;60636;19037;86295;7530;98833;1230;19689;32654;49567;79048;42152;65585;23808;37786;2914;63958;Credit Card Account AI Lead;Computer Paradigm Persistent
10;57680;86680;31267;Wyoming back-end Executive;TCP withdrawal;Stravenue;Computer Algerian Dinar;policy input;Venezuela Corporate Sleek Metal Car;1042;69584;82058;65628;3257;81818;37469;1724;80451;71204;86083;34798;97163;18194;65643;26869;26645;8618;5451;30752;70277;59560;53400;32253;input Kids;application
