id;screen_id;chart_id;child_chart_id;update_time;update_user
1;3263;20885;83287;2021-04-27T14:38:55;Corporate
2;22983;95582;50508;2021-04-27T07:48:06;ubiquitous
3;23663;3157;49326;2021-04-27T11:05:23;emulation USB
4;19002;58848;406;2021-04-27T08:21:32;De-engineered wireless
5;98641;77809;94265;2021-04-27T03:46:48;scalable
6;16711;91493;17991;2021-04-27T10:54:01;mobile
7;67831;94387;48947;2021-04-27T23:05:53;Bedfordshire
8;9138;31432;23402;2021-04-27T17:08:49;Shirt Trinidad and Tobago Dollar Internal
9;5196;78625;29959;2021-04-27T15:23:35;bypassing matrix
10;14428;10469;380;2021-04-27T17:40:54;Shoes 24/365 PNG
