id;query_kpi_id;status;run_time_succ;update_time
1;37454;79654;2020-04-13T06:07:15;2020-04-14T00:32:07
2;73199;77969;2020-04-13T14:34:12;2020-04-13T14:36:49
3;15601;44583;2020-04-14T01:11:38;2020-04-14T02:32:18
4;5808;45924;2020-04-13T08:08:59;2020-04-13T20:55:44
5;60111;14286;2020-04-13T11:56:39;2020-04-13T13:19:00
6;2058;5641;2020-04-13T05:39:37;2020-04-13T11:36:36
7;83244;93855;2020-04-13T23:50:30;2020-04-14T04:55:09
8;18182;99221;2020-04-14T00:32:10;2020-04-13T14:07:06
9;30424;61165;2020-04-13T16:20:38;2020-04-14T04:46:05
10;43194;2306;2020-04-13T21:56:54;2020-04-13T16:20:36
