id;table_name;kpi_id;prd_id;status;update_time
1;Berkshire bypassing transmitter;14935;74053;2472;2020-04-06T22:47:15
2;Liaison Generic Automated;97523;3267;69398;2020-04-06T21:37:45
3;Creative;48164;54988;69675;2020-04-07T05:27:35
4;Licensed Czech Republic;3551;32555;64606;2020-04-06T16:08:17
5;networks;8002;46004;10555;2020-04-06T15:54:22
6;Shoes Designer;72770;90949;24736;2020-04-07T09:48:03
7;National;58697;65112;19064;2020-04-07T03:01:37
8;Managed Beauty;38630;21272;78014;2020-04-06T17:29:00
9;RAM Generic Frozen Bike;6722;21815;96513;2020-04-07T04:00:40
10;Groves Montserrat Associate;2754;38052;28126;2020-04-06T15:31:41
