id;query_kpi_id;table_source;status;update_time
1;94182;United Arab Emirates Forges;24832;2020-05-04T06:59:13
2;29135;Generic Rubber Mouse Savings Account;31919;2020-05-03T23:40:06
3;21266;compressing;51301;2020-05-04T07:40:21
4;65254;parse Light Cape;20722;2020-05-04T00:39:28
5;59579;Metal Fish;62211;2020-05-03T14:32:13
6;17080;Intelligent Wooden Bacon Brooks calculate;59260;2020-05-04T07:06:43
7;50505;invoice Frozen encompassing;21685;2020-05-04T08:36:07
8;83298;yellow North Carolina;52400;2020-05-03T20:59:44
9;73668;intangible Balboa US Dollar PNG;4740;2020-05-04T02:08:30
10;77893;compress Uzbekistan Sum Wooden;401;2020-05-03T17:35:59
