id;time_type;input_level;query_data;query_check_data;status;description;update_time;update_user;list_parent_input_level
1;61185;39986;Gorgeous Frozen Pants;Common;78517;grey Cambridgeshire;2020-04-13T14:43:12;Refined Rubber Chicken Table;Automotive
2;94220;96563;cross-platform access;Public-key;24102;Bahamian Dollar Investment Account;2020-04-13T08:56:29;Salad;Digitized invoice
3;31171;42515;sky blue Georgia;Facilitator;77513;Markets Chief;2020-04-13T14:35:18;National Awesome sky blue;Tactics
4;84453;38867;interactive generating compelling;Home Loan Account;27599;scalable;2020-04-14T00:58:17;Industrial;index orange
5;552;1407;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;86310;Investment Account archive Fantastic Plastic Chicken;2020-04-13T21:08:01;pixel withdrawal;Mississippi embrace Developer
6;84891;76078;Idaho compress Avon;system Small;43933;red;2020-04-13T07:26:23;Harbor Montana;Corporate Phased relationships
7;75555;20306;Brand;neutral Salad;92969;virtual deposit;2020-04-13T08:01:23;digital maroon;EXE projection Fresh
8;35629;31800;Gorgeous Profit-focused synergies;cutting-edge ability Hat;53408;Bedfordshire Bahamian Dollar;2020-04-13T22:28:19;User-centric Gloves;Mauritania
9;70301;40383;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688;Personal Loan Account;2020-04-13T16:52:25;Small Plastic Pants Investor;Canadian Dollar
10;53093;48945;Designer Persistent;Handmade 24/7 Re-contextualized;80313;Point Orchestrator;2020-04-13T19:21:58;bypassing optical;installation
